judge,pre_question,pre_rhetorical_question,pre_gif,pre_thoughts,pre_assess,pre_doubt,pre_negation,pre_pauses,pre_causation,pre_falsity,pre_conflict,aft_question,aft_rhetorical_question,aft_gif,aft_thoughts,aft_assess,aft_doubt,aft_negation,aft_pauses,aft_causation,aft_falsity,aft_conflict,class
Exist,More,Null,Exist,Exist,More,Null,Null,Null,Null,Null,Null,How,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,p
Exist,Null,Null,Exist,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Null,Null,p
Exist,Why,Exist,Exist,Exist,Null,Null,Exist,Null,Null,Null,Null,how,Null,Null,Null,Null,More,Exist,Exist,Null,Null,Exist,p
Exist,Null,Exist,Null,Exist,Null,Exist,Null,Null,Null,Null,Null,More,Null,Null,Null,Null,Null,Exist,Null,Null,Exist,Null,p
Exist,Where,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,p
Exist,how,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,More,Null,Null,Exist,Exist,Exist,Null,Null,Exist,Null,Null,p
Exist,Null,Null,Exist,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Exist,Null,Exist,Null,Exist,Null,Null,Null,p
Exist,Null,Null,Exist,Exist,Exist,Null,Null,Null,Exist,Null,Null,More,Exist,Null,Exist,Exist,Exist,Null,Null,Null,Null,Null,p
Exist,More,Exist,Null,Exist,Exist,Exist,Null,Null,Null,Null,Null,What,Null,Exist,Exist,Null,Exist,Null,Null,Exist,Exist,Null,p
Exist,Why,Exist,Exist,Exist,Null,Null,Exist,Null,Null,Exist,Null,More,Null,Null,Exist,Exist,More,Null,Null,Exist,Exist,Null,p
Exist,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,More,Null,Null,Null,More,Null,Exist,Null,Null,Null,Null,p
Exist,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Exist,Null,Exist,Null,Null,More,Null,Null,Exist,Null,p
Null,What,Null,Exist,Exist,Exist,Null,Null,Null,Null,Null,Null,where,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,p
Exist,who,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Exist,Exist,Null,p
Exist,What,Null,Exist,Exist,Null,Null,Exist,Null,Null,Null,Null,what,More,Null,Exist,Null,Exist,More,Null,Null,Exist,Null,p
Exist,Null,Null,Null,Exist,Null,Exist,Exist,Null,Null,Null,Null,More,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,p
Exist,Why,Null,Exist,Exist,Exist,Null,Null,Null,Null,Null,Null,What,Exist,Null,Null,More,Null,Null,Null,Null,Null,Null,p
Exist,who,Null,Exist,Exist,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,Exist,Null,p
